                                                                                                             
{'loss': '0.1186', 'grad_norm': '0.2203', 'learning_rate': '0.0001617', 'epoch': '0.5755'}
{'loss': '0.1163', 'grad_norm': '0.1643', 'learning_rate': '0.0001613', 'epoch': '0.5807'}
{'loss': '0.1013', 'grad_norm': '0.2308', 'learning_rate': '0.000161', 'epoch': '0.5858'}
{'loss': '0.1191', 'grad_norm': '0.2894', 'learning_rate': '0.0001606', 'epoch': '0.591'}
{'loss': '0.1174', 'grad_norm': '0.2113', 'learning_rate': '0.0001603', 'epoch': '0.5961'}
{'loss': '0.1071', 'grad_norm': '0.2594', 'learning_rate': '0.00016', 'epoch': '0.6012'}
{'loss': '0.103', 'grad_norm': '0.2457', 'learning_rate': '0.0001596', 'epoch': '0.6064'}
{'loss': '0.1034', 'grad_norm': '0.2597', 'learning_rate': '0.0001593', 'epoch': '0.6115'}
{'loss': '0.1018', 'grad_norm': '0.176', 'learning_rate': '0.0001589', 'epoch': '0.6166'}
{'loss': '0.1088', 'grad_norm': '0.1649', 'learning_rate': '0.0001586', 'epoch': '0.6218'}
{'loss': '0.1016', 'grad_norm': '0.3059', 'learning_rate': '0.0001582', 'epoch': '0.6269'}
{'loss': '0.11', 'grad_norm': '0.4074', 'learning_rate': '0.0001579', 'epoch': '0.6321'}
{'loss': '0.09412', 'grad_norm': '0.2018', 'learning_rate': '0.0001576', 'epoch': '0.6372'}
{'loss': '0.1088', 'grad_norm': '0.3252', 'learning_rate': '0.0001572', 'epoch': '0.6423'}
{'loss': '0.11', 'grad_norm': '0.3554', 'learning_rate': '0.0001569', 'epoch': '0.6475'}
{'loss': '0.1108', 'grad_norm': '0.336', 'learning_rate': '0.0001565', 'epoch': '0.6526'}
{'loss': '0.1135', 'grad_norm': '0.2174', 'learning_rate': '0.0001562', 'epoch': '0.6578'}
{'loss': '0.1085', 'grad_norm': '0.134', 'learning_rate': '0.0001558', 'epoch': '0.6629'}
{'loss': '0.1131', 'grad_norm': '0.3052', 'learning_rate': '0.0001555', 'epoch': '0.668'}
